"psi_z";"psi";"n_gauche";"n_droite";"logLik";"AIC";"modele";"reponse";"source";"vent";"version";"variable"
-0,0917527209936842;15,3333333333334;4240;4215;-2458,74207149358;4981,48414298717;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
0,0368952841040941;16,2666666666667;4713;3742;-2458,99702686521;4981,99405373041;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
0,183921575644411;17,3333333333333;5202;3253;-2459,63678482279;4983,27356964558;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
0,358515296848538;18,6;5680;2775;-2460,19071701301;4984,38143402603;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
0,542298161273936;19,9333333333333;6162;2293;-2460,63747176953;4985,27494353907;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
0,778590415535162;21,647619047619;6643;1812;-2460,80674130413;4985,61348260826;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
1,00634989394806;23,2999999999999;7129;1326;-2460,7924416388;4985,5848832776;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
1,29397007677381;25,3866666666665;7609;846;-2460,73543312938;4985,47086625875;"presence_IC_moyen_complet";"presence";"IC";"moyen";"complet";"vent"
-1,22949963987943;15,9666666666666;582;5197;-22104,6116818886;44275,2233637772;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,911712955569812;17,5333333333333;910;4869;-22100,8655787115;44267,7311574229;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,687620217697987;18,6380952380952;1239;4540;-22097,5525615679;44261,1051231357;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,663541287427892;18,7568027210884;1256;4523;-22097,2310294087;44260,4620588174;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,639462357157798;18,8755102040816;1311;4468;-22096,9914682291;44259,9829364581;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,615383426887704;18,9942176870748;1348;4431;-22096,8690033776;44259,7380067552;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,591304496617609;19,112925170068;1387;4392;-22096,7374304604;44259,4748609209;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,567225566347515;19,2316326530612;1416;4363;-22096,6638871812;44259,3277743624;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,543146636077421;19,3503401360544;1483;4296;-22096,6485829125;44259,297165825;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,519067705807326;19,4690476190476;1530;4249;-22096,6809502303;44259,3619004607;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,494988775537232;19,5877551020408;1567;4212;-22096,6985033024;44259,3970066048;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,492504989033728;19,6;1574;4205;-22096,7032118367;44259,4064236735;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,470909845267138;19,706462585034;1627;4152;-22096,7316255661;44259,4632511321;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,446830914997043;19,8251700680272;1675;4104;-22096,7953188292;44259,5906376583;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,422751984726949;19,9438775510204;1734;4045;-22096,9338953842;44259,8677907684;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,398673054456855;20,0625850340136;1768;4011;-22097,0398818437;44260,0797636874;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,374594124186761;20,1812925170068;1830;3949;-22097,1515142853;44260,3030285707;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,350515193916666;20,3;1901;3878;-22097,2641085741;44260,5282171482;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,188241142354311;21,0999999999999;2240;3539;-22099,0176133269;44264,0352266539;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-0,0597741848674459;21,7333333333333;2568;3211;-22100,1485746851;44266,2971493702;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
0,0551699349892226;22,3;2890;2889;-22101,152719043;44268,305438086;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
0,176875473660989;22,9;3223;2556;-22102,5835152762;44271,1670305524;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
0,327944888329754;23,6447619047619;3550;2229;-22103,7620328889;44273,5240657777;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
0,494662157970602;24,4666666666666;3889;1890;-22104,2918404647;44274,5836809294;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
0,670459047163154;25,3333333333333;4213;1566;-22105,0504689059;44276,1009378118;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
0,880063030431196;26,3666666666666;4549;1230;-22105,7362475548;44277,4724951095;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
1,10995127014453;27,4999999999999;4879;900;-22105,9683945631;44277,9367891262;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
1,36688518511826;28,7666666666666;5202;577;-22106,0948212393;44278,1896424787;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"temperature"
-1,36797941685719;43,3166666666666;578;5201;-22105,4904467449;44276,9808934898;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-1,11976944760105;47,7499999999999;913;4866;-22106,1713771285;44278,3427542569;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-0,93781101149222;51;1241;4538;-22106,1492199258;44278,2984398515;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-0,74185577260579;54,5;1577;4202;-22105,0271947333;44276,0543894666;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-0,56456293742283;57,6666666666667;1904;3875;-22101,9020806888;44269,8041613776;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-0,415263707795073;60,3333333333333;2236;3543;-22098,9508645262;44263,9017290524;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-0,239570507215269;63,4714285714285;2559;3220;-22095,7137717879;44257,4275435759;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-0,0700092392808869;66,5;2916;2863;-22094,629579214;44255,2591584281;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-0,0460147202335689;66,9285714285715;2955;2824;-22094,5245015165;44255,0490030329;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-0,0220202011862509;67,3571428571429;3024;2755;-22094,4500102396;44254,9000204791;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,00197431786106705;67,7857142857143;3078;2701;-22094,4094901945;44254,8189803889;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,025968836908385;68,2142857142858;3108;2671;-22094,3852346718;44254,7704693435;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,049963355955703;68,6428571428572;3157;2622;-22094,3338827666;44254,6677655332;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,073957875003021;69,0714285714286;3213;2566;-22094,3177447588;44254,6354895175;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,0839555912727368;69,25;3232;2547;-22094,3357593924;44254,6715187848;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,097952394050339;69,5;3273;2506;-22094,379842346;44254,759684692;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,121946913097657;69,9285714285715;3292;2487;-22094,5227921517;44255,0455843034;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,145941432144975;70,3571428571429;3337;2442;-22094,5695405743;44255,1390811486;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,169935951192293;70,7857142857143;3390;2389;-22094,6158305363;44255,2316610726;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,193930470239611;71,2142857142858;3410;2369;-22094,6743948224;44255,3487896447;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,217924989286929;71,6428571428572;3454;2325;-22094,7091091831;44255,4182183662;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,241919508334247;72,0714285714286;3516;2263;-22094,7018706313;44255,4037412626;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,265914027381565;72,5;3564;2215;-22094,7920988471;44255,5841976942;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,447872463490393;75,7500000000001;3889;1890;-22095,1279105829;44256,2558211658;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,629830899599221;79,0000000000001;4220;1559;-22096,6618076307;44259,3236152613;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
0,839782941263253;82,7500000000001;4548;1231;-22099,2814122758;44264,5628245517;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
1,06373178570489;86,7500000000001;4874;905;-22101,8465598764;44269,6931197529;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
1,34366784125693;91,7500000000001;5207;572;-22103,2264210094;44272,4528420189;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"humidite"
-1,1086796314727;1016,96666666667;580;5199;-22105,2588580346;44276,5177160691;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
-0,849730996108962;1018,43333333334;910;4869;-22104,7166253482;44275,4332506964;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
-0,602552753261767;1019,83333333334;1242;4537;-22102,8795616302;44271,7591232605;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
-0,455422846805115;1020,66666666667;1573;4206;-22101,7503301667;44269,5006603335;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
-0,308292940348442;1021,5;1910;3869;-22100,3301499526;44266,6602999052;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
-0,172933426408292;1022,26666666667;2230;3549;-22099,1418737603;44264,2837475205;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
-0,0493443049847044;1022,96666666667;2561;3218;-22096,3855689337;44258,7711378674;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
0,0801300126971444;1023,7;2892;2887;-22093,3282444896;44252,6564889792;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
0,0982059726332484;1023,80238095239;2949;2830;-22092,9026047695;44251,8052095391;"intensite_IC_moyen_complet";"intensite";"IC";"moyen";"complet";"pression"
