"terme","beta","SE","z","p_value","IC95_inf","IC95_sup","ratio","ratio_IC95_inf","ratio_IC95_sup","modele","reponse","source","vent","version"
"heure11",-0.121362418465683,0.0388739467200167,-3.12194744052555,0.0017965901001625,-0.197555354036916,-0.0451694828944501,0.885712902706683,0.820734708390961,0.955835470342268,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure12",-0.0981839768181482,0.0414345883173595,-2.36961390966718,0.0178066690106072,-0.179395769920173,-0.0169721837161236,0.906482116716375,0.835775059304572,0.983171032419088,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure13",-0.0857594799516364,0.0436765833802422,-1.96351164204,0.0495867530638883,-0.171365583376911,-0.000153376526361687,0.917814957572515,0.842513508229853,0.999846635235216,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure14",-0.136662208843029,0.0458510111245186,-2.98057132201277,0.00287711231727186,-0.226530190647085,-0.0467942270389721,0.872264819716392,0.797295271089474,0.954283743179867,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure15",-0.0932282607651558,0.0468891536691837,-1.98826921515597,0.0467819235817275,-0.185131001956756,-0.00132551957355563,0.910985534306699,0.830995414695865,0.998675358539486,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure16",-0.0951419544401123,0.0473290112282993,-2.01022484879685,0.0444073965865151,-0.187906816447579,-0.0023770924326456,0.909243854104448,0.828691924092304,0.997625730614247,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure17",-0.133785470022698,0.046786853614104,-2.85946712993686,0.00424353393082221,-0.225487703106342,-0.0420832369390543,0.874777710517159,0.798126874868853,0.958789970508617,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure18",-0.189638045862687,0.0444869093907937,-4.26278310765125,2.01896462331792e-05,-0.276832388268643,-0.102443703456731,0.827258509400106,0.758181566586102,0.902628963213084,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure19",-0.252094685074537,0.0424500357030022,-5.93862127321386,2.87428994841158e-09,-0.335296755052421,-0.168892615096653,0.777171148076981,0.71512583765574,0.844599595762409,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"heure20",-0.19034334826068,0.041960071979206,-4.53629699098246,5.72505451021604e-06,-0.272585089339923,-0.108101607181436,0.826675247701782,0.761408638660278,0.897536395653788,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"groupeG2",-2.71716919151526,0.0904718223412844,-30.0333200017278,3.60560245772976e-198,-2.89449396330417,-2.53984441972634,0.0660614974323013,0.0553270155121245,0.0788786708012758,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"groupeG4",-3.09266019212407,0.222928496032872,-13.8728796325259,9.24878430282549e-44,-3.5296000443485,-2.65572033989964,0.0453810713212847,0.0293166388779445,0.0702482178411281,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"groupeG5",-2.06707421333166,0.264310286769022,-7.82063474940744,5.25576379082312e-15,-2.58512237539895,-1.54902605126438,0.126555514999507,0.0753868535403406,0.212454793171861,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"groupeG6",-5.17592962512264,1.03017315274615,-5.02432975594935,5.05193705238534e-07,-7.19506900450509,-3.15679024574018,0.00565096119591308,0.000750276311082665,0.0425621360637587,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"groupeG7",-1.39790067856904,0.0754116413897241,-18.5369347862984,1.03981782451936e-76,-1.54570749569289,-1.25009386144518,0.247115194008236,0.213161007366839,0.286477906367917,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"groupeG8",-1.31594966685637,0.16075672408389,-8.18596966537868,2.70119772519028e-16,-1.63103284606079,-1.00086648765195,0.26821948309844,0.195727313508101,0.367560816240482,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"groupeG9",0.734689126100388,0.0720477988114232,10.1972459703224,2.03974451873926e-24,0.593475440429998,0.875902811770777,2.08483377134819,1.81026897720946,2.40104200473794,"intensite_IC_moyen_sans_2202_2024","intensite","IC","moyen","sans_2202_2024"
"(Intercept)",6.76605939890263,0.547344936520295,12.3616004231579,4.21676865477266e-35,5.69326332332285,7.83885547448241,867.885157520199,296.860794435896,2537.2991676963,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"temperature_z",-0.0182452903600464,0.142688591034915,-0.1278678990921,0.898253515279598,-0.29791492878848,0.261424348068387,0.981920147269653,0.742364490908195,1.29877868273914,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"humidite_z",0.0768859789279153,0.131137853093222,0.586298899321306,0.557674670567701,-0.1801442131348,0.333916170990631,1.07991893585759,0.835149763160998,1.39642607765307,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"pression_z",-0.186155386584133,0.103077084374265,-1.80598226768055,0.0709211094238779,-0.388186471957692,0.0158756987894252,0.830144591627067,0.678285850180406,1.01600238723007,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"rafale_IC_max_z",0.0345741375779729,0.082309979011508,0.420047945500496,0.674450428645862,-0.126753421284583,0.195901696440529,1.03517877117818,0.880950869551743,1.21640732228714,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"direction_IC_sin",0.100654272395736,0.117220652670908,0.858673536636236,0.390520654520572,-0.129098206839243,0.330406751630716,1.10589423749808,0.87888764852918,1.39153402209958,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"direction_IC_cos",-0.138168342327603,0.133439794941112,-1.0354358112479,0.300465428734256,-0.399710340412182,0.123373655756976,0.870952061306859,0.670514238787418,1.13130706137795,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"pluie",0.237249826728174,0.236439224887334,1.00342837294119,0.315654220149573,-0.226171054051,0.700670707507349,1.26775779799884,0.797581660422575,2.01510379957248,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"saisonete",-0.861307533050814,0.314670572317472,-2.7371721693182,0.00619698510980127,-1.47806185479306,-0.244553211308569,0.422609145479639,0.22807931110471,0.783054319911715,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"saisonprintemps",-1.60441123531511,0.346055334415479,-4.63628522884965,3.54726399884537e-06,-2.28267969076945,-0.926142779860772,0.201007866411125,0.102010483581414,0.39607852978078,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure10",0.116130790395999,0.25113287527013,0.462427670097287,0.643774660362034,-0.376089645133456,0.608351225925454,1.12314275881355,0.686540785243296,1.83739944339692,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure11",-0.0813098998139982,0.257353298757896,-0.315946600282323,0.752043040245179,-0.585722365379474,0.423102565751477,0.921907948069355,0.556703573142096,1.52669087413332,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure12",0.0325503847559387,0.271223413704576,0.120013181426119,0.904472706162993,-0.499047506105031,0.564148275616908,1.03308594361582,0.607108651686336,1.75794985614534,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure13",0.400909507018799,0.287442893131937,1.39474489228294,0.163092782183363,-0.162478563519797,0.964297577557396,1.49318213988264,0.850034311773791,2.62294459409757,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure14",-0.0234132482500385,0.289401334020355,-0.0809023508108355,0.935519610419426,-0.590639862929934,0.543813366429856,0.976858715196105,0.55397270470736,1.72256311790429,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure15",-0.221414838475466,0.292973496266729,-0.75575040506014,0.449798856946206,-0.795642891158255,0.352813214207323,0.801384166339347,0.451291010640735,1.42306531022544,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
"heure16",-0.236413112905525,0.295796925369411,-0.799241278827617,0.424150520791242,-0.81617508662957,0.34334886081852,0.78945447272747,0.442119493290897,1.40966045145479,"presence_IC_rafale_max_sans_2202_2024","presence","IC","rafale_max","sans_2202_2024"
