ruche;annee;semaine;n_videos;presence;intensite;n_positives;ic_intensite;date_semaine;presence_pct;ic_presence;presence_inf;presence_sup
2203;2023;29;84;0.9523809523809523;32.0375;80;2.2214973219128176;2023-07-17;95.23809523809523;4.55420034042649;90.68389489766874;99.79229557852172
2203;2023;30;84;0.9761904761904762;10.829268292682928;82;2.676272087309006;2023-07-24;97.61904761904762;3.260311278026937;94.35873634102069;100.0
2203;2023;31;84;0.9404761904761905;7.620253164556962;79;1.1394596435351232;2023-07-31;94.04761904761905;5.059827255139433;88.98779179247961;99.10744630275849
2203;2023;32;84;0.8928571428571429;4.8933333333333335;75;0.7915330585786184;2023-08-07;89.28571428571429;6.614378277661475;82.67133600805282;95.90009256337576
2203;2023;33;84;0.9404761904761905;4.8734177215189876;79;0.9183356746981022;2023-08-14;94.04761904761905;5.059827255139433;88.98779179247961;99.10744630275849
2203;2023;34;81;0.9629629629629629;5.294871794871795;78;1.142356584754696;2023-08-21;96.29629629629629;4.1127894019102325;92.18350689438606;100.0
2203;2023;35;38;0.9210526315789473;4.6571428571428575;35;1.068843465125355;2023-08-28;92.10526315789474;8.57383903789844;83.5314241199963;100.0
2206;2023;18;52;0.6730769230769231;77.51428571428572;35;13.343630972468167;2023-05-01;67.3076923076923;12.749981034730244;54.55771127296207;80.05767334242255
2206;2023;19;84;0.32142857142857145;141.22222222222223;27;26.544161114428835;2023-05-08;32.142857142857146;9.98749217771909;22.155364965138055;42.13034932057624
2206;2023;20;72;0.7361111111111112;59.39622641509434;53;8.18809815813606;2023-05-15;73.61111111111111;10.180569240217842;63.43054187089327;83.79168035132895
2206;2023;21;75;0.9733333333333334;56.821917808219176;73;6.66045232100721;2023-05-22;97.33333333333334;3.646200985907059;93.68713234742629;100.0
2206;2023;22;77;0.935064935064935;49.40277777777778;72;6.20178044974398;2023-05-29;93.5064935064935;5.50390886301287;88.00258464348063;99.01040236950637
2206;2023;23;84;0.9642857142857143;54.22222222222222;81;5.069944310211107;2023-06-05;96.42857142857143;3.9686269665968847;92.45994446197454;100.0
2206;2023;24;84;0.9523809523809523;66.7375;80;7.257726175417599;2023-06-12;95.23809523809523;4.55420034042649;90.68389489766874;99.79229557852172
